x (m)		I/Io		mu_T
1.23		0.27036		0.544638
1.232		0.26996		1.02936
1.234		0.26949		0.594298
1.236		0.26903		0.557053
1.238		0.26866		0.611571
1.24		0.26821		0.717638
1.242		0.26784		1.31868
1.244		0.26733		1.53405
1.246		0.26691		1.10979
1.248		0.26645		0.512521
1.25		0.26591		0.512521
1.252		0.2655		2.79876
1.254		0.26504		0.767297
1.256		0.26464		1.25958
1.258		0.26421		0.806161
1.26		0.26368		0.4661
1.262		0.26327		1.45525
1.264		0.26278		2.22659
1.266		0.26229		0.767297
1.268		0.26171		0.676344
1.27		0.26135		0.703063
1.272		0.26083		0.456924
1.274		0.26037		1.45525
1.276		0.25989		0.479595
1.278		0.25948		2.79876
1.28		0.25914		3.64621
1.282		0.25878		1.06795
1.284		0.25827		0.827483
1.286		0.25785		2.79876
1.288		0.25745		0.767297
1.29		0.25695		0.930041
1.292		0.25646		2.22659
1.294		0.25608		0.806161
1.296		0.25568		0.733291
1.298		0.2552		0.631003
1.3		0.25482		0.689299
1.302		0.25441		2.58447
1.304		0.25405		6.24525
1.306		0.25355		0.663929
1.308		0.25308		2.07707
1.31		0.25262		0.993465
1.312		0.25221		1.82446
1.314		0.25184		2.07707
1.316		0.25141		9.28961
1.318		0.25101		0.544638
1.32		0.25061		1.384
1.322		0.25024		1.62123
1.324		0.24982		2.79876
1.326		0.24935		0.550845
1.328		0.24893		1.71758
1.33		0.24856		0.717638
1.332		0.24813		0.767297
1.334		0.2477		0.930041
1.336		0.24723		0.749754
1.338		0.24687		0.512521
1.34		0.24651		0.749754
1.342		0.24608		7.07921
1.344		0.24565		1.82446
1.346		0.24526		3.04436
1.348		0.24486		0.503345
1.35		0.24446		2.39473
1.352		0.24417		2.58447
1.354		0.24378		1.45525
1.356		0.2433		1.20533
1.358		0.24293		3.32504
1.36		0.2425		0.960539
1.362		0.24201		1.53405
1.364		0.24157		1.25958
1.366		0.24128		1.94375
1.368		0.24092		1.20533
1.37		0.24051		0.767297
